family;variation;algorithm
Linear system of equations;Toeplitz;Asymptotically fast Toeplitz algorithms
Linear System;Toeplitz;Brent, Gustavson, and Yun, Anti-Diagonal Toeplitz (ADT)
Linear System;Toeplitz;Brent, Gustavson, and Yun, Main-Diagonal Toeplitz (MDT)
Linear System;Toeplitz;Bitmead and Anderson
Linear System;Toeplitz;Morf
Linear System;Toeplitz;de Hoog
Linear System;Toeplitz;Ammar and Gragg
Linear System;Toeplitz;Trench-Zohar
Linear System;Toeplitz;A Look-ahead Levinson Algorithm
Linear System;Toeplitz;Generalized Levinson Algorithm for any Rank Profile
Linear System;Toeplitz??;Berlekamp-Massey Algorithm
Linear System;Toeplitz;Extended Berlekamp-Massey
Linear System;Toeplitz;Pivoted Toeplitz algorithms
Linear System;Toeplitz?, Hermitian?;Schur Algorithms for Hermitian, Toeplitz, and Hankel matrices
Linear System;Toeplitz;Lookahead Bareiss Algorithm
Linear system of equations;Sparse;
Linear Programming;;Vaidya
Linear Programming;;Vaidya
Linear Programming;;Jiang, Song, Weinstein and Zhang
Closest Pair Problem;k-dimensional space, Euclidean metric;Khuller, Matias
Shortest Path (Undirected graphs);positive integer weights; assumes constant-time multiplication;Thorup
Shortest Path (Undirected graphs);positive integer weights; assumes constant-time multiplication;Thorup
Betweenness Centrality (BC);Unweighted;Brandes
Betweenness Centrality (BC);Weighted;Brandes
All-Pairs Shortest Paths (APSP);Directed, Weighted (Arbitrary weights);Johnson's algorithm
All-Pairs Shortest Paths (APSP);Directed, Unweighted;Zwick 2002
Boolean Satisfiability;NAE 3SAT;Shi 2009
String Search;;Wu and Manber, Fuzzy String Matching
Sequence Alignment;Edit distance;Wagner-Fischer algorithm
Sequence Alignment;Edit sequence;Wagner-Fischer algorithm
Sequence Alignment;Edit sequence;Masek, Paterson
Maximum cardinality matching;bipartite graph;Alt, Blum, Mehlhorn, Paul
Maximum cardinality matching;general graph;Blossom Algorithm
Maximum cardinality matching;general graph;Micali, Vazirani
Maximum-weight matching;bipartite (i.e. assignment), general;Edmonds-Karp
Maximum-weight matching;bipartite (i.e. assignment), general;Johnson (Edmonds-Karp-based)
Maximum-weight matching;bipartite (i.e. assignment), general;Fredman-Tarjan (Edmonds-Karp-based)
Maximum-weight matching;general;Gabow
Maximum-weight matching;general;Galil, Micali, Gabow
Maximum-weight matching;general;Gabow, Galil, Spencer
Maximum-weight matching;general;Gabow
Root Computation;Root Computation with continuous derivatives (up to d);Householder's Method
Lowest Common Ancestor;Lowest Common Ancestor with Linking and Cutting;Sleator and Tarjan [Linking and Cutting]
3SUM;Integer 3SUM;Textbook Sort-and-Binary-Search
3SUM;Integer 3SUM;Textbook Sort-and-Two-Sided-Traversal
3SUM;Integer 3SUM;Baran, Demaine, Patrascu
3SUM;Integer 3SUM;Baran, Demaine, Patrascu
3SUM;Integer 3SUM;Baran, Demaine, Patrascu
3SUM;Integer 3SUM;Baran, Demaine, Patrascu
Maximum subarray problem;1-dimensional;Wen
Maximum subarray problem;2-dimensional;brute force
Maximum subarray problem;2-dimensional;Bentley
Maximum subarray problem;2-dimensional;Smith
Maximum subarray problem;2-dimensional;Tamaki, Tokuyama (exact)
Maximum subarray problem;2-dimensional;Tamaki, Tokuyama (approximate)
Maximum subarray problem;2-dimensional;Takaoka
Maximum subarray problem;2-dimensional;Smith
Maximum subarray problem;2-dimensional;KALYAN PERUMALLA and NARSINGH DEO
Maximum subarray problem;2-dimensional;Wen
k-Clique Problem;k-Clique;Brute force enumeration
k-Clique Problem;k-Clique;Nesetril, Poljak
Min-Weight k-Clique Problem;3-Clique;APSP algorithm
Exact-Weight k-Clique Problem;3-Clique;Gronlund, Pettie
Graph Isomorphism Problem;Graph Isomporhism, Trivalent Graphs;Babai 1980
Nash Equilibria;2 player games;Lemke-Howson Algorithm
Nash Equilibria;Graphical games, Multi-agent influence diagrams;Blum, Shelton, Koller
Nash Equilibria;2 player games;Lipton, Markakis and Mehta method
Nash Equilibria;n player games;Lipton, Markakis and Mehta method 2
Nash Equilibria;n player games;Support enumeration and search
Nash Equilibria;n player games;Mixed Integer Programming
Nash Equilibria;n player games;Global Newton Method
Line Clipping;convex and non-convex polyhedral window;Skala
Integer Relation;;Bailey, Broadhurst
String Search;;Galil, Seiferas
String Search;;Galil, Seiferas
Graph Isomorphism Problem;Subgraph Isomorphism;Ullman
Sorting ;Comparison Sorting;Parallel Merge Sort - Cole (2)
Sorting;Comparison sorting, Non-Comparison sorting;Parallel Sorting by OverPartitioning (PSOP) - Li, Sevcik (Radix sort / PROP)
Linear System;symmetric positive semidefinite matrices;Pan, Reif
Linear System;;Csanky
Closest Pair Problem;2-dimensional space, Eucledian metric;MacKenzie, Stout
LU Decomposition;;Lüpke
String Search;;Kim, Kang
String Search;;Kim, Kim, Kang
String Search;;Raju, Babu, Raju, Madhavi
String Search;;Qu, Zhang, Fang, Liu (parallelized Aho-Corasick algorithm)
String Search;;Alsaheel, Alqahtani, Alabdulatif
String Search;;Rasool, Khare (parallel KMP)
Sequence Alignment;;ZHANG, QIAO, LIU
SDD Systems Solver;Exact Laplacian Solver;Blelloch et al.
Nearest Neighbor Search;;Ramasubramanian, Paliwal
Nearest Neighbor Search;;Papadopoulos, Manolopoulos
Nearest Neighbor Search;;Papadopoulos, Manolopoulos
Nearest Neighbor Search;;KNN-MR (map reduce) - Kim, Kim, Shim
Lowest Common Ancestor;Single-Pair LCA;Das, Halverson, Min
The Traveling-Salesman Problem;;Burkhovetskiy, Steinberg
The Traveling-Salesman Problem;;Pekny, Miller
The Traveling-Salesman Problem;;Pruul, Nemhauser, Rushmeier
The Traveling-Salesman Problem;;Quinn, Deo 
Delaunay Triangulation;2-Dimensional Delaunay Triangulation, Spherical Delaunay Triangulation;Jacobsen et al.
CFG Problems;;Parallel Earley's method
Data Compression;;CZ algorithm - Jiancheng, Yiqin, Yu
Data Compression;;Crochemore, Rytter
Data Compression;;You, Xi, Zhang, Chen
Data Compression;;Dua, Kumar, Singh
Data Compression;;Mishra, Mishra, Pani
Determinants;Determinant of Matrices with Integer Entries;Csanky
Determinants;Determinant of Matrices with Integer Entries;Preparata, Sarwate
Determinants;Determinant of Matrices with Integer Entries;Borodin, von zur Gathem, Hopcroft
Determinants;Determinant of Matrices with Integer Entries;Bini
Determinants;Determinant of Matrices with Integer Entries;Pan
Determinants;Determinant of Matrices with Integer Entries;Galil, Pan
Determinants;Determinant of Matrices with Integer Entries;Mahajan, Vinay
Determinants;Determinant of Matrices with Integer Entries;Beliakov, Matiyasevich
Determinants;Determinant of Matrices with Integer Entries;Pereira, de Morais, Matsumoto
Integral Equations;Volterra-Abel Equations;Capobianco, Cardone
Interval Scheduling;Preemptive Scheduling on Many Machines, Minimize C_max;Martel
